year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
1968,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,202.22,486.5,0,,350,4954.6,0,1,4954.624,Wheat,250
1969,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,131.494,323.1,0,,345,5201.6,0,1,5201.644,Wheat,250
1970,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,169.977,380.3,0,,347,5969,0,1,5969.027,Wheat,250
1971,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,252.641,506,0,,348,5537.6,0,1,5537.578,Wheat,250
1972,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,113.354,288.8,0,,339,5100.9,0,1,5100.859,Wheat,250
1973,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,218.865,528.6,0,,340,4805.4,0,1,4805.414,Wheat,250
1974,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,169.174,491.5,0,,346,5196.2,0,1,5196.18,Wheat,250
1975,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,247.195,538.3,0,,336,5095.7,0,1,5095.656,Wheat,250
1976,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,193.004,361.5,0,,348,6078.7,0,1,6078.699,Wheat,250
1977,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,145.361,323.6,2,,341,5218,0,1,5218.023,Wheat,250
1978,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,189.954,433.1,1,,341,5796.6,2,0.81,4695.262,Wheat,250
1979,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,174.552,444.4,1,,340,5867.8,0,1,5867.822,Wheat,250
1980,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,170.947,410.8,3,,338,5920.2,1,0.9,5328.163,Wheat,250
1981,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,148.849,515.6,0,,339,4612.3,1,0.9,4151.045,Wheat,250
1982,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,76.913,161.5,4,,338,4133.9,0,1,4133.863,Wheat,250
1983,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,241.551,530.5,0,,346,4239.4,0,1,4239.381,Wheat,250
1984,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,148.48,362.4,1,,344,5348.9,1,0.9,4813.99,Wheat,250
1985,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,201.513,428.7,0,,343,5849.7,2,0.81,4738.239,Wheat,250
1986,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,247.535,496.2,0,,347,5482.1,0,1,5482.073,Wheat,250
1987,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,203.748,447.6,5,,342,4954.3,0,1,4954.339,Wheat,250
1988,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,170.365,525.4,1,,337,4862.4,0,1,4862.417,Wheat,250
1989,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,140.999,429.1,1,,344,5747.5,0,1,5747.54,Wheat,250
1990,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,138.245,335.4,3,,338,5822.2,0,1,5822.235,Wheat,250
1991,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,138.343,412.1,0,,341,5350.4,0,1,5350.448,Wheat,250
1992,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,231.565,573.7,0,,349,5190.8,0,1,5190.801,Wheat,250
1993,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,167.145,387.9,0,,341,5722,1,0.9,5149.785,Wheat,250
1994,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,110.162,269.7,1,,345,6128.4,0,1,6128.416,Wheat,250
1995,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,125.733,363.6,0,,347,4888.5,1,0.9,4399.643,Wheat,250
1996,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,149.731,468.5,0,,349,5244.4,2,0.81,4247.992,Wheat,250
1997,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,129.472,366.6,2,,344,6253.8,0,1,6253.758,Wheat,250
1998,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,149.85,360.6,0,,344,6269.1,3,0.648,4062.38,Wheat,250
1999,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,155.767,345.4,0,,337,5770.6,0,1,5770.648,Wheat,250
2000,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,158.599,345.2,0,,340,6379.5,3,0.729,4650.633,Wheat,250
2001,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,235.289,459.5,0,,345,6195.2,1,0.9,5575.679,Wheat,250
